doc_id,phase,stratum,thesis_type,institution,year,abstract_words,handle
GT-045,principal,Ingeniería y Tecnología,bachelorThesis,UPEU,2024,203,https://hdl.handle.net/20.500.12840/7908
GT-046,principal,Ciencias Naturales,bachelorThesis,UNAP,2017,229,https://repositorio.unap.edu.pe/handle/20.500.14082/4027
GT-047,principal,Ciencias Sociales,masterThesis,UPEU,2020,189,https://hdl.handle.net/20.500.12840/2993
GT-048,principal,Ciencias Sociales,bachelorThesis,UPEU,2022,249,https://hdl.handle.net/20.500.12840/5493
GT-049,principal,Ciencias Naturales,bachelorThesis,UNAP,2018,221,https://repositorio.unap.edu.pe/handle/20.500.14082/7649
GT-050,principal,Ciencias Sociales,masterThesis,UNAP,2024,249,https://repositorio.unap.edu.pe/handle/20.500.14082/22665
GT-051,principal,Ciencias Médicas y de la Salud,bachelorThesis,UPEU,2019,246,https://hdl.handle.net/20.500.12840/1662
GT-052,principal,Ciencias Sociales,bachelorThesis,UNAP,2025,172,https://repositorio.unap.edu.pe/handle/20.500.14082/25222
GT-053,principal,Ciencias Médicas y de la Salud,bachelorThesis,UPEU,2022,299,https://hdl.handle.net/20.500.12840/6184
GT-054,principal,Ciencias Sociales,masterThesis,UNAP,2025,249,https://repositorio.unap.edu.pe/handle/20.500.14082/24624
GT-055,principal,Ciencias Agrícolas y Veterinarias,bachelorThesis,UPEU,2020,266,https://hdl.handle.net/20.500.12840/3454
GT-056,principal,Humanidades y Artes,bachelorThesis,UPEU,2021,120,https://hdl.handle.net/20.500.12840/4046
GT-057,principal,Ciencias Agrícolas y Veterinarias,bachelorThesis,UNAP,2022,254,https://repositorio.unap.edu.pe/handle/20.500.14082/18650
GT-058,principal,Ingeniería y Tecnología,bachelorThesis,UANCV,2024,228,https://demo2024.uancv.edu.pe/handle/UANCV/732
GT-059,principal,Ciencias Médicas y de la Salud,bachelorThesis,UPEU,2017,141,https://hdl.handle.net/20.500.12840/866
GT-060,principal,Ciencias Naturales,bachelorThesis,UPEU,2020,117,https://hdl.handle.net/20.500.12840/3898
GT-061,principal,Ciencias Sociales,bachelorThesis,UNAP,2024,245,https://repositorio.unap.edu.pe/handle/20.500.14082/22319
GT-062,principal,Ciencias Agrícolas y Veterinarias,bachelorThesis,UNAP,2021,235,https://repositorio.unap.edu.pe/handle/20.500.14082/15482
GT-063,principal,Humanidades y Artes,bachelorThesis,UANCV,2025,235,https://repositorio.uancv.edu.pe/handle/UANCV/3479
GT-064,principal,Humanidades y Artes,bachelorThesis,UANCV,2025,120,https://repositorio.uancv.edu.pe/handle/UANCV/2968
GT-065,principal,Ciencias Naturales,bachelorThesis,UNAP,2019,204,https://repositorio.unap.edu.pe/handle/20.500.14082/12605
GT-066,principal,Ingeniería y Tecnología,bachelorThesis,UANCV,2024,285,https://demo2024.uancv.edu.pe/handle/UANCV/247
GT-067,principal,Ciencias Agrícolas y Veterinarias,bachelorThesis,UNAP,2024,207,https://repositorio.unap.edu.pe/handle/20.500.14082/22583
GT-068,principal,Ciencias Médicas y de la Salud,bachelorThesis,UPEU,2020,306,https://hdl.handle.net/20.500.12840/3042
GT-069,principal,Ciencias Agrícolas y Veterinarias,masterThesis,UNAP,2022,257,https://repositorio.unap.edu.pe/handle/20.500.14082/18178
GT-070,principal,Ciencias Naturales,bachelorThesis,UNAP,2026,238,https://repositorio.unap.edu.pe/handle/20.500.14082/26144
GT-071,principal,Ciencias Sociales,bachelorThesis,UNAP,2024,274,https://repositorio.unap.edu.pe/handle/20.500.14082/21443
GT-072,principal,(sin código FORD),bachelorThesis,UNAP,2020,301,https://repositorio.unap.edu.pe/handle/20.500.14082/13927
GT-073,principal,Ciencias Médicas y de la Salud,bachelorThesis,UNAP,2024,274,https://repositorio.unap.edu.pe/handle/20.500.14082/21980
GT-074,principal,(sin código FORD),bachelorThesis,UNAP,2016,405,https://repositorio.unap.edu.pe/handle/20.500.14082/2038
GT-075,principal,(sin código FORD),masterThesis,UNAP,2019,232,https://repositorio.unap.edu.pe/handle/20.500.14082/12441
GT-076,principal,Ingeniería y Tecnología,bachelorThesis,UANCV,2025,165,https://repositorio.uancv.edu.pe/handle/UANCV/2504
GT-077,principal,Ciencias Sociales,bachelorThesis,UNAP,2021,265,https://repositorio.unap.edu.pe/handle/20.500.14082/15775
GT-078,principal,Ingeniería y Tecnología,bachelorThesis,UANCV,2025,180,https://repositorio.uancv.edu.pe/handle/UANCV/3428
GT-079,principal,Ingeniería y Tecnología,bachelorThesis,UPSC,2023,279,http://repositorio.upsc.edu.pe/handle/UPSC/646
GT-080,principal,Ciencias Naturales,bachelorThesis,UNAP,2022,250,https://repositorio.unap.edu.pe/handle/20.500.14082/18439
GT-081,principal,(sin código FORD),bachelorThesis,UNAP,2017,286,https://repositorio.unap.edu.pe/handle/20.500.14082/5816
GT-082,principal,Ciencias Médicas y de la Salud,bachelorThesis,UPSC,2025,279,https://repositorio.upsc.edu.pe/handle/20.500.14891/1912
GT-083,principal,Ciencias Médicas y de la Salud,bachelorThesis,UPEU,2019,221,https://hdl.handle.net/20.500.12840/2287
GT-084,principal,Ciencias Médicas y de la Salud,bachelorThesis,UNAP,2024,292,https://repositorio.unap.edu.pe/handle/20.500.14082/21966
GT-085,principal,Ingeniería y Tecnología,bachelorThesis,UNAP,2024,269,https://repositorio.unap.edu.pe/handle/20.500.14082/22296
GT-086,principal,Ciencias Sociales,masterThesis,UANCV,2025,135,https://repositorio.uancv.edu.pe/handle/UANCV/3141
GT-087,principal,Ciencias Sociales,bachelorThesis,UPSC,2025,268,https://repositorio.upsc.edu.pe/handle/20.500.14891/1137
GT-088,principal,(sin código FORD),bachelorThesis,UNAP,2017,205,https://repositorio.unap.edu.pe/handle/20.500.14082/4557
GT-089,principal,(sin código FORD),masterThesis,UNAP,2016,196,https://repositorio.unap.edu.pe/handle/20.500.14082/705
GT-090,principal,Ciencias Sociales,masterThesis,UPEU,2023,266,https://hdl.handle.net/20.500.12840/6221
GT-091,principal,Ingeniería y Tecnología,bachelorThesis,UNAP,2021,131,https://repositorio.unap.edu.pe/handle/20.500.14082/15478
GT-092,principal,Humanidades y Artes,bachelorThesis,UANCV,2025,175,https://repositorio.uancv.edu.pe/handle/UANCV/3236
GT-093,principal,Ciencias Médicas y de la Salud,bachelorThesis,UPEU,2023,246,https://hdl.handle.net/20.500.12840/6764
GT-094,principal,Ciencias Sociales,bachelorThesis,UPEU,2023,98,https://hdl.handle.net/20.500.12840/6881
GT-095,principal,Ciencias Sociales,bachelorThesis,UANCV,2024,181,https://demo2024.uancv.edu.pe/handle/UANCV/1540
GT-096,principal,(sin código FORD),masterThesis,UNAP,2018,277,https://repositorio.unap.edu.pe/handle/20.500.14082/8603
GT-097,principal,Ciencias Agrícolas y Veterinarias,bachelorThesis,UNAP,2023,296,https://repositorio.unap.edu.pe/handle/20.500.14082/19473
GT-098,principal,Ciencias Sociales,bachelorThesis,UPEU,2022,206,https://hdl.handle.net/20.500.12840/6121
GT-099,principal,(sin código FORD),bachelorThesis,UNAP,2019,319,https://repositorio.unap.edu.pe/handle/20.500.14082/11538
GT-100,principal,Ciencias Agrícolas y Veterinarias,bachelorThesis,UNAP,2023,299,https://repositorio.unap.edu.pe/handle/20.500.14082/19855
GT-101,principal,(sin código FORD),bachelorThesis,UNAP,2016,292,https://repositorio.unap.edu.pe/handle/20.500.14082/1770
GT-102,principal,Ciencias Médicas y de la Salud,doctoralThesis,UNAP,2022,243,https://repositorio.unap.edu.pe/handle/20.500.14082/17672
GT-103,principal,Ciencias Médicas y de la Salud,bachelorThesis,UPEU,2021,159,https://hdl.handle.net/20.500.12840/4461
GT-104,principal,(sin código FORD),bachelorThesis,UNAP,2016,367,https://repositorio.unap.edu.pe/handle/20.500.14082/2240
GT-105,principal,Ciencias Agrícolas y Veterinarias,bachelorThesis,UNAP,2024,196,https://repositorio.unap.edu.pe/handle/20.500.14082/23250
GT-106,principal,Humanidades y Artes,bachelorThesis,UNAP,2023,227,https://repositorio.unap.edu.pe/handle/20.500.14082/20786
GT-107,principal,Ciencias Sociales,doctoralThesis,UPEU,2022,190,https://hdl.handle.net/20.500.12840/5389
GT-108,principal,Ingeniería y Tecnología,bachelorThesis,UPEU,2020,167,https://hdl.handle.net/20.500.12840/3247
GT-109,principal,Ciencias Sociales,bachelorThesis,UNAP,2022,262,https://repositorio.unap.edu.pe/handle/20.500.14082/17772
GT-110,principal,Ciencias Agrícolas y Veterinarias,bachelorThesis,UNAP,2022,256,https://repositorio.unap.edu.pe/handle/20.500.14082/17856
GT-111,principal,Ingeniería y Tecnología,bachelorThesis,UPEU,2025,191,https://hdl.handle.net/20.500.12840/9105
GT-112,principal,Humanidades y Artes,masterThesis,UPEU,2026,201,https://hdl.handle.net/20.500.12840/10429
GT-113,principal,Ciencias Médicas y de la Salud,bachelorThesis,UPEU,2023,191,https://hdl.handle.net/20.500.12840/6500
GT-114,principal,(sin código FORD),masterThesis,UNAP,2016,306,https://repositorio.unap.edu.pe/handle/20.500.14082/376
GT-115,principal,Humanidades y Artes,bachelorThesis,UPEU,2022,181,https://hdl.handle.net/20.500.12840/5766
GT-116,principal,Ciencias Médicas y de la Salud,bachelorThesis,UANCV,2024,237,https://demo2024.uancv.edu.pe/handle/UANCV/603
GT-117,principal,Ingeniería y Tecnología,bachelorThesis,UNAP,2023,253,https://repositorio.unap.edu.pe/handle/20.500.14082/21057
GT-118,principal,Ciencias Sociales,masterThesis,UANCV,2024,152,https://repositorio.uancv.edu.pe/handle/UANCV/1175
GT-119,principal,(sin código FORD),bachelorThesis,UNAP,2016,212,https://repositorio.unap.edu.pe/handle/20.500.14082/2198
GT-120,principal,Ingeniería y Tecnología,bachelorThesis,UANCV,2024,189,https://demo2024.uancv.edu.pe/handle/UANCV/1368
GT-121,principal,(sin código FORD),masterThesis,UNAP,2016,375,https://repositorio.unap.edu.pe/handle/20.500.14082/733
GT-122,principal,Ciencias Naturales,bachelorThesis,UNAP,2024,387,https://repositorio.unap.edu.pe/handle/20.500.14082/22092
GT-123,principal,Ciencias Sociales,bachelorThesis,UNAP,2025,258,https://repositorio.unap.edu.pe/handle/20.500.14082/24511
GT-124,principal,(sin código FORD),bachelorThesis,UNAP,2017,721,https://repositorio.unap.edu.pe/handle/20.500.14082/3522
GT-125,principal,(sin código FORD),bachelorThesis,UNAP,2016,304,https://repositorio.unap.edu.pe/handle/20.500.14082/2532
GT-126,principal,(sin código FORD),bachelorThesis,UNAP,2017,303,https://repositorio.unap.edu.pe/handle/20.500.14082/5601
GT-127,principal,Ciencias Médicas y de la Salud,bachelorThesis,UPEU,2026,250,https://hdl.handle.net/20.500.12840/9850
GT-128,principal,Ciencias Naturales,bachelorThesis,UNAP,2024,245,https://repositorio.unap.edu.pe/handle/20.500.14082/21452
GT-129,principal,Ciencias Médicas y de la Salud,bachelorThesis,UNAP,2022,272,https://repositorio.unap.edu.pe/handle/20.500.14082/19098
GT-130,principal,Ciencias Médicas y de la Salud,masterThesis,UPEU,2025,328,https://hdl.handle.net/20.500.12840/8406
GT-131,principal,Ciencias Sociales,bachelorThesis,UNAP,2026,161,https://repositorio.unap.edu.pe/handle/20.500.14082/25704
GT-132,principal,Ciencias Agrícolas y Veterinarias,bachelorThesis,UNAP,2021,351,https://repositorio.unap.edu.pe/handle/20.500.14082/16699
GT-133,principal,Ciencias Naturales,bachelorThesis,UNAP,2022,235,https://repositorio.unap.edu.pe/handle/20.500.14082/18699
GT-134,principal,Humanidades y Artes,bachelorThesis,UNAP,2024,206,https://repositorio.unap.edu.pe/handle/20.500.14082/22085
GT-135,principal,Ciencias Sociales,bachelorThesis,UPEU,2017,212,https://hdl.handle.net/20.500.12840/658
GT-136,principal,Ciencias Sociales,bachelorThesis,UNAP,2023,300,https://repositorio.unap.edu.pe/handle/20.500.14082/19763
GT-137,principal,(sin código FORD),bachelorThesis,UNAP,2018,488,https://repositorio.unap.edu.pe/handle/20.500.14082/7738
GT-138,principal,(sin código FORD),bachelorThesis,UNAP,2020,267,https://repositorio.unap.edu.pe/handle/20.500.14082/13929
GT-139,principal,Ciencias Sociales,bachelorThesis,UPEU,2024,176,https://hdl.handle.net/20.500.12840/7694
GT-140,principal,Ciencias Sociales,masterThesis,UNAP,2022,231,https://repositorio.unap.edu.pe/handle/20.500.14082/18576
GT-141,principal,(sin código FORD),bachelorThesis,UNAP,2020,271,https://repositorio.unap.edu.pe/handle/20.500.14082/14238
GT-142,principal,Ingeniería y Tecnología,bachelorThesis,UPEU,2024,226,https://hdl.handle.net/20.500.12840/8202
GT-143,principal,Ingeniería y Tecnología,bachelorThesis,UPEU,2020,248,https://hdl.handle.net/20.500.12840/3292
GT-144,principal,Ciencias Naturales,bachelorThesis,UNAP,2018,202,https://repositorio.unap.edu.pe/handle/20.500.14082/7246
GT-145,principal,Ciencias Sociales,bachelorThesis,UNAP,2023,234,https://repositorio.unap.edu.pe/handle/20.500.14082/20574
GT-146,principal,Ingeniería y Tecnología,bachelorThesis,UNAP,2023,352,https://repositorio.unap.edu.pe/handle/20.500.14082/19485
GT-147,principal,Ciencias Agrícolas y Veterinarias,bachelorThesis,UNAP,2024,251,https://repositorio.unap.edu.pe/handle/20.500.14082/22467
GT-148,principal,Ciencias Sociales,bachelorThesis,UANCV,2025,163,https://repositorio.uancv.edu.pe/handle/UANCV/2725
GT-149,principal,Ingeniería y Tecnología,bachelorThesis,UNAP,2022,224,https://repositorio.unap.edu.pe/handle/20.500.14082/17909
GT-150,principal,Ciencias Médicas y de la Salud,bachelorThesis,UNAP,2021,209,https://repositorio.unap.edu.pe/handle/20.500.14082/15269
GT-151,principal,(sin código FORD),bachelorThesis,UNAP,2017,471,https://repositorio.unap.edu.pe/handle/20.500.14082/4187
GT-152,principal,Ingeniería y Tecnología,bachelorThesis,UNAP,2026,223,https://repositorio.unap.edu.pe/handle/20.500.14082/25855
GT-153,principal,Ciencias Médicas y de la Salud,bachelorThesis,UPEU,2023,202,https://hdl.handle.net/20.500.12840/7101
GT-154,principal,(sin código FORD),bachelorThesis,UPEU,2017,198,https://hdl.handle.net/20.500.12840/170
GT-155,principal,Ingeniería y Tecnología,bachelorThesis,UPEU,2019,141,https://hdl.handle.net/20.500.12840/2728
GT-156,principal,(sin código FORD),masterThesis,UNAP,2018,239,https://repositorio.unap.edu.pe/handle/20.500.14082/9151
GT-157,principal,(sin código FORD),bachelorThesis,UNAP,2019,137,https://repositorio.unap.edu.pe/handle/20.500.14082/11517
GT-158,principal,Ciencias Médicas y de la Salud,bachelorThesis,UPSC,2025,221,https://repositorio.upsc.edu.pe/handle/20.500.14891/1867
GT-159,principal,Humanidades y Artes,masterThesis,UPEU,2024,223,https://hdl.handle.net/20.500.12840/7559
GT-160,principal,Ciencias Sociales,bachelorThesis,UNAP,2024,183,https://repositorio.unap.edu.pe/handle/20.500.14082/22237
